Date;Price
1/1/2000;1394.5
1/2/2000;1366.4
1/3/2000;1498.6
1/4/2000;1452.4
1/5/2000;1420.6
1/6/2000;1454.6
1/7/2000;1430.8
1/8/2000;1517.7
1/9/2000;1436.5
1/10/2000;1429.4
1/11/2000;1315
1/12/2000;1320.3
1/1/2001;1366
1/2/2001;1239.9
1/3/2001;1160.3
1/4/2001;1249.5
1/5/2001;1255.8
1/6/2001;1224.4
1/7/2001;1211.2
1/8/2001;1133.6
1/9/2001;1040.9
1/10/2001;1059.8
1/11/2001;1139.5
1/12/2001;1148.1
1/1/2002;1130.2
1/2/2002;1106.7
1/3/2002;1147.4
1/4/2002;1076.9
1/5/2002;1067.1
1/6/2002;989.8
1/7/2002;911.6
1/8/2002;916.1
1/9/2002;815.3
1/10/2002;885.8
1/11/2002;936.3
1/12/2002;879.8
1/1/2003;855.7
1/2/2003;841.1
1/3/2003;848.2
1/4/2003;916.9
1/5/2003;963.6
1/6/2003;974.5
1/7/2003;990.3
1/8/2003;1008
1/9/2003;996
1/10/2003;1050.7
1/11/2003;1058.2
1/12/2003;1111.9
1/1/2004;1131.1
1/2/2004;1144.9
1/3/2004;1126.2
1/4/2004;1107.3
1/5/2004;1120.7
1/6/2004;1140.8
1/7/2004;1101.7
1/8/2004;1104.2
1/9/2004;1114.6
1/10/2004;1130.2
1/11/2004;1173.8
1/12/2004;1211.9
1/1/2005;1181.3
1/2/2005;1203.6
1/3/2005;1180.6
1/4/2005;1156.8
1/5/2005;1191.5
1/6/2005;1191.3
1/7/2005;1234.2
1/8/2005;1220.3
1/9/2005;1228.8
1/10/2005;1207
1/11/2005;1249.5
1/12/2005;1248.3
1/1/2006;1280.1
1/2/2006;1280.7
1/3/2006;1294.8
1/4/2006;1310.6
1/5/2006;1270.1
1/6/2006;1270.2
1/7/2006;1276.7
1/8/2006;1303.8
1/9/2006;1335.8
1/10/2006;1377.9
1/11/2006;1400.6
1/12/2006;1418.3
1/1/2007;1438.2
1/2/2007;1406.8
1/3/2007;1420.9
1/4/2007;1482.4
1/5/2007;1530.6
1/6/2007;1503.3
1/7/2007;1455.3
1/8/2007;1474
1/9/2007;1526.8
1/10/2007;1549.4
1/11/2007;1481.1
1/12/2007;1468.4
1/1/2008;1378.5
1/2/2008;1330.6
1/3/2008;1322.7
1/4/2008;1385.6
1/5/2008;1400.4
1/6/2008;1280
1/7/2008;1267.4
1/8/2008;1282.8
1/9/2008;1166.4
1/10/2008;968.8
1/11/2008;896.2
1/12/2008;903.2
1/1/2009;825.9
1/2/2009;735.1
1/3/2009;797.9
1/4/2009;872.8
1/5/2009;919.1
1/6/2009;919.3
1/7/2009;987.5
1/8/2009;1020.6
1/9/2009;1057.1
1/10/2009;1036.2
1/11/2009;1095.6
1/12/2009;1115.1
1/1/2010;1073.9
1/2/2010;1104.5
1/3/2010;1169.4
1/4/2010;1186.7
1/5/2010;1089.4
1/6/2010;1030.7
1/7/2010;1101.6
1/8/2010;1049.3
1/9/2010;1141.2
1/10/2010;1183.3
1/11/2010;1180.5
1/12/2010;1257.6
1/1/2011;1286.1
1/2/2011;1327.2
1/3/2011;1325.8
1/4/2011;1363.6
1/5/2011;1345.2
1/6/2011;1320.6
1/7/2011;1292.3
1/8/2011;1218.9
1/9/2011;1131.4
1/10/2011;1253.3
1/11/2011;1247
1/12/2011;1257.6
1/1/2012;1312.4
1/2/2012;1365.7
1/3/2012;1408.5
1/4/2012;1397.9
1/5/2012;1310.3
1/6/2012;1362.2
1/7/2012;1379.3
1/8/2012;1406.6
1/9/2012;1440.7
1/10/2012;1412.2
1/11/2012;1416.2
1/12/2012;1426.2
1/1/2013;1498.1
1/2/2013;1514.7
1/3/2013;1569.2
1/4/2013;1597.6
1/5/2013;1630.7
1/6/2013;1606.3
1/7/2013;1685.7
1/8/2013;1633
1/9/2013;1681.5
1/10/2013;1756.5
1/11/2013;1805.8
1/12/2013;1848.4
1/1/2014;1782.6
1/2/2014;1859.5
1/3/2014;1872.3
1/4/2014;1884
1/5/2014;1923.6
1/6/2014;1960.2
1/7/2014;1930.7
1/8/2014;2003.4
1/9/2014;1972.3
1/10/2014;2018
1/11/2014;2067.6
1/12/2014;2058.9
1/1/2015;1995
1/2/2015;2104.5
1/3/2015;2067.9
1/4/2015;2085.5
1/5/2015;2107.4
1/6/2015;2063.1
1/7/2015;2103.8
1/8/2015;1972.2
1/9/2015;1920
1/10/2015;2079.4
1/11/2015;2080.4
1/12/2015;2043.9
1/1/2016;1940.2
1/2/2016;1932.2
1/3/2016;2059.7
1/4/2016;2065.3
1/5/2016;2097
1/6/2016;2098.9
1/7/2016;2173.6
1/8/2016;2170.9
1/9/2016;2168.3
1/10/2016;2126.2
1/11/2016;2198.8
1/12/2016;2238.8
1/1/2017;2278.9
1/2/2017;2363.6
1/3/2017;2362.7
1/4/2017;2384.2
1/5/2017;2411.8
1/6/2017;2423.4
1/7/2017;2470.3
1/8/2017;2471.7
1/9/2017;2519.4
1/10/2017;2575.3
1/11/2017;2647.6
1/12/2017;2673.6
1/1/2018;2823.8
1/2/2018;2713.8
1/3/2018;2640.9
1/4/2018;2648.1
1/5/2018;2705.3
1/6/2018;2718.4
1/7/2018;2816.3
1/8/2018;2901.5
1/9/2018;2914
1/10/2018;2711.7
1/11/2018;2760.2
1/12/2018;2506.8
1/1/2019;2704.1
1/2/2019;2784.5
1/3/2019;2834.4
1/4/2019;2945.8
1/5/2019;2752.1
1/6/2019;2941.8
1/7/2019;2980.4
1/8/2019;2926.5
1/9/2019;2976.7
1/10/2019;3037.6
1/11/2019;3141
1/12/2019;3230.8
1/1/2020;3225.5
